Year,Delhi,Karnataka,Maharashtra,West Bengal
2011,147,83,135,167
2012,149,83,134,169
2013,151,82,134,171
2014,151,82,134,171
2015,113,79,151,125
2016,114,80,161,126
2017,118,82,169,130
