[116.96001]
[12.199997]
[-23.019997]
[-46.08]
[30.700005]
[-42.769997]
[-100.28]
[-17.300003]
[18.600006]
[88.94]
[55.149994]
[78.81999]
[139.89]
[60.68]
[35.269997]
[102.28001]
[21.319992]
[69.51]
[86.03]
[-65.08]
[65.75]
[-62.76999]
[-69.70999]
[-148.56999]
[-228.87]
[-40.649994]
[-3.0299988]
[-45.810013]
[-70.65]
[-31.029999]
[-27.559998]
[117.8]
[-23.170013]
[-28.51001]
[122.42]
[76.16]
[83.23]
[-49.280006]
[13.769997]
[-30.159996]
[51.769997]
[2.75]
[72.47]
[-81.07001]
[-81.48999]
[119.40999]
[-144.54001]
[-120.75]
[-59.800003]
[95.96999]
[50.449997]
[82.39001]
[-15.609993]
[39.179993]
[-121.48]
[-33.83]
[61.729996]
[-112.62999]
[-42.670002]
[17.839996]
[-38.68]
[-86.49999]
[-109.76999]
[-115.4]
[-55.519997]
[-38.739998]
[2.1100006]
[-52.039993]
[-7.7099915]
[-93.63]
[8.25]
[-33.65]
[-11.139999]
[-38.05]
[-26.77]
[-3.2500038]
[12.459999]
[-17.96]
[13.220001]
[9.360001]
[-71.060005]
[3.920002]
[-19.899998]
[-22.889996]
[-26.370003]
[-3.0200005]
[28.5]
[-33.71]
[-57.870003]
[-61.87]
[-72.19]
[-62.97]
[-38.34]
[-1.0400009]
[25.5]
[54.41]
[39.480003]
[16.349998]
[43.53]
[47.719997]
[63.910004]
[41.04]
[107.97]
[102.]
[2.7999992]
[11.560001]
[11.919998]
[-39.04]
[0.5299988]
[18.46]
[-7.1299973]
[-25.769997]
[-0.7400055]
[20.41]
[-70.96001]
[-67.229996]
[-4.700001]
[14.839996]
[20.690002]
[37.67]
[7.7699966]
[4.]
[-6.75]
[17.559998]
[14.940002]
[28.800003]
[51.670002]
[47.19]
[48.74]
[-12.290001]
[-27.130005]
[-16.54]
[-19.809998]
[-28.119995]
[-1.4599991]
[29.93]
[22.07]
[35.759995]
[15.610001]
[-0.7900009]
[6.869995]
[-5.5199966]
[21.660004]
[-3.1399994]
[-14.130001]
[-34.060005]
[-42.160004]
[-8.239998]
[-23.010002]
[-41.72]
[-13.440002]
[-30.549995]
[-26.789993]
[3.7600021]
[-0.22000122]
[19.470001]
[61.079998]
[154.26999]
[247.82]
[106.229996]
[58.]
[88.07001]
[96.3]
[203.18]
[98.79]
[100.11]
[13.82]
[-13.5]
[12.710007]
[0.76000977]
[-77.54001]
[35.839996]
[115.28999]
[13.87999]
[-77.25]
[-95.79001]
[71.22]
[11.580002]
