Year,Delhi,Karnataka,Maharashtra,West Bengal
2011,18451,59419,112660,89499
2012,18983,60026,114184,90320
2013,19529,60624,115697,91122
2014,20092,61214,117189,91920
2015,20676,61797,118652,92725
2016,21285,62374,120076,93550
2017,21896,62912,121509,34069
2018,22523,63435,122926,34483
