Year,Delhi,Karnataka,Maharashtra,West Bengal
2011,61,17.77777778,33.27272727,54.66666667
2012,59,17,35.57142857,48.5
2013,66,14.78571429,31.5,52.25
2014,61,15.5625,36.22727273,50.625
2015,65,15.3125,35.90909091,47.125
2016,66,21,39,46
2017,68,20,58,39
2018,78,20,37,38
