Date,Benzene,Toluene,NO,NO2,NOx,PM2.5,PM10,RH,WS,WD,Ozone
26-01-2018 00:00,3.77,10.94,58.46,80.82,119.83,191.67,287.04,71.39,0.78,240.74,22.81
27-01-2018 00:00,3.77,10.94,74.36,181.77,106.68,223.46,412.38,62.76,0.49,235.65,9.10
28-01-2018 00:00,3.77,10.94,77.60,158.11,131.49,235.79,396.29,61.73,0.73,218.50,8.10
29-01-2018 00:00,3.77,10.94,84.24,303.20,114.13,242.21,434.71,56.39,1.00,263.52,3.70
30-01-2018 00:00,3.77,10.94,68.67,145.51,118.26,134.25,299.08,42.95,2.14,272.70,3.70
31-01-2018 00:00,3.77,10.94,72.09,154.39,104.69,144.00,316.00,47.81,2.49,271.33,3.70
01-02-2018 00:00,3.77,10.94,109.16,336.89,117.14,193.92,448.75,46.10,0.81,256.95,31.63
02-02-2018 00:00,3.77,10.94,85.86,232.83,131.30,129.08,331.54,48.39,1.03,257.34,5.20
03-02-2018 00:00,3.77,10.94,81.39,204.26,112.97,105.12,256.50,39.99,1.12,252.00,6.55
04-02-2018 00:00,11.21,7.22,89.23,240.65,97.46,136.11,281.65,42.21,1.57,270.92,2.00
05-02-2018 00:00,7.52,6.11,118.55,305.72,121.03,178.25,429.71,36.92,0.92,264.79,22.44
06-02-2018 00:00,6.28,6.89,90.77,182.89,132.50,130.33,325.17,38.77,1.82,266.81,23.73
07-02-2018 00:00,7.21,4.96,97.42,196.97,99.15,136.50,292.00,37.31,1.74,266.92,39.47
08-02-2018 00:00,12.66,7.96,124.53,178.95,91.07,232.33,411.25,43.77,0.71,238.46,14.98
09-02-2018 00:00,7.89,5.38,120.70,210.39,112.04,228.17,491.05,43.75,0.74,227.40,15.10
10-02-2018 00:00,9.51,7.31,136.44,129.76,76.26,309.75,419.68,41.21,0.39,151.46,18.92
11-02-2018 00:00,16.42,8.15,78.40,132.08,103.14,165.12,359.13,38.81,1.56,102.46,22.80
12-02-2018 00:00,2.59,1.26,39.52,55.25,60.92,62.00,149.46,60.92,3.94,87.31,17.37
13-02-2018 00:00,8.45,9.48,68.07,147.16,120.54,118.92,237.48,62.48,1.12,203.83,24.57
14-02-2018 00:00,2.97,5.15,71.20,110.63,125.99,69.25,218.50,49.69,2.65,277.66,20.01
15-02-2018 00:00,4.13,4.48,76.96,141.62,126.57,91.25,217.77,51.70,2.52,278.17,22.25
16-02-2018 00:00,6.75,4.97,100.21,210.82,121.23,123.94,291.97,53.10,1.10,272.75,22.52
17-02-2018 00:00,5.83,6.38,90.92,192.83,135.38,135.17,347.79,51.22,1.39,268.61,20.15
18-02-2018 00:00,7.82,6.94,98.13,160.30,114.30,161.50,343.44,49.19,1.20,248.55,20.34
19-02-2018 00:00,16.55,10.35,130.50,152.91,93.84,261.25,386.20,44.66,0.71,225.01,18.81
20-02-2018 00:00,18.96,10.04,117.38,202.56,116.25,231.17,516.43,45.77,0.94,218.90,20.70
21-02-2018 00:00,19.51,14.88,110.11,173.97,114.60,251.17,381.79,45.69,0.52,189.58,37.52
22-02-2018 00:00,25.89,11.24,98.34,217.95,131.32,214.75,441.58,54.82,0.47,186.13,15.94
23-02-2018 00:00,17.74,12.76,93.75,206.58,147.25,238.29,543.08,53.91,0.37,156.27,18.86
24-02-2018 00:00,16.70,18.03,65.18,97.83,110.61,183.33,415.08,53.03,1.46,85.59,23.19
25-02-2018 00:00,10.70,11.00,67.46,114.64,125.18,125.00,312.38,55.14,1.28,222.33,22.17
26-02-2018 00:00,3.83,5.93,71.70,99.48,123.85,63.17,252.12,58.01,2.88,276.58,19.82
27-02-2018 00:00,7.01,9.58,87.55,166.19,152.44,89.50,270.25,56.22,1.46,265.72,15.74
28-02-2018 00:00,10.61,15.24,83.30,163.35,141.69,151.17,380.62,59.42,0.73,233.64,19.63
01-03-2018 00:00,14.40,15.38,86.77,185.31,129.97,141.71,438.42,54.36,0.78,221.29,13.54
02-03-2018 00:00,22.70,14.61,70.41,167.68,94.05,179.50,362.46,54.95,1.02,220.53,31.25
03-03-2018 00:00,12.33,11.95,70.20,145.38,117.03,105.25,249.25,49.98,0.65,201.16,19.97
04-03-2018 00:00,13.12,11.33,61.53,115.24,92.83,99.58,258.29,50.04,1.11,225.18,22.07
05-03-2018 00:00,10.37,12.64,77.72,144.43,112.39,75.46,232.17,50.88,1.47,255.99,20.68
06-03-2018 00:00,8.57,11.37,74.32,127.49,121.44,75.67,247.62,50.65,2.02,271.97,26.16
07-03-2018 00:00,16.11,12.36,83.94,136.16,106.50,95.35,268.00,48.55,1.51,263.10,24.35
08-03-2018 00:00,89.78,30.56,110.63,117.44,82.08,226.08,521.88,50.40,0.61,115.53,34.13
09-03-2018 00:00,44.57,26.26,88.81,160.12,118.36,156.12,352.16,46.07,1.06,233.15,29.26
10-03-2018 00:00,10.55,14.40,68.17,105.28,114.69,67.79,224.75,42.92,1.68,268.12,24.84
11-03-2018 00:00,9.56,11.96,72.13,112.60,122.79,79.60,222.10,45.50,1.22,270.74,25.90
12-03-2018 00:00,9.56,11.96,72.13,112.60,122.79,79.60,222.10,45.50,1.22,270.74,25.90
13-03-2018 00:00,9.56,11.96,72.13,112.60,122.79,79.60,222.10,45.50,1.22,270.74,25.90
14-03-2018 00:00,36.82,28.30,104.21,185.09,140.24,79.77,376.69,27.28,0.73,163.12,30.20
15-03-2018 00:00,35.45,17.23,89.77,158.14,103.71,141.42,446.91,44.00,1.38,209.52,29.32
16-03-2018 00:00,13.48,6.27,73.25,131.17,118.62,154.50,374.56,45.07,1.39,236.47,31.60
17-03-2018 00:00,3.54,3.32,74.65,127.50,105.05,93.91,272.18,48.81,1.39,271.18,24.09
18-03-2018 00:00,3.54,3.32,74.65,127.50,105.05,93.91,272.18,48.81,1.39,271.18,24.09
19-03-2018 00:00,3.54,3.32,74.65,127.50,105.05,93.91,272.18,48.81,1.39,271.18,24.09
20-03-2018 00:00,33.59,41.97,105.21,191.63,121.71,166.57,502.00,32.93,0.70,116.21,73.92
21-03-2018 00:00,11.87,15.15,56.02,86.77,114.46,166.25,358.25,47.97,1.26,190.83,43.33
22-03-2018 00:00,6.44,5.90,52.52,73.06,82.86,110.71,258.00,51.34,1.43,220.02,28.09
23-03-2018 00:00,7.44,8.07,66.94,100.86,110.11,63.75,209.21,48.49,1.33,269.07,30.62
24-03-2018 00:00,8.78,6.80,65.22,104.21,90.86,80.00,259.85,45.52,1.88,272.97,32.53
25-03-2018 00:00,5.07,11.17,61.35,78.35,131.65,72.41,287.52,35.59,2.46,273.39,39.74
26-03-2018 00:00,13.88,12.58,73.80,120.81,101.70,91.19,286.00,40.14,2.00,273.61,27.59
27-03-2018 00:00,25.74,13.76,88.91,205.22,104.77,158.88,428.91,33.60,1.05,218.79,30.60
28-03-2018 00:00,35.84,23.78,82.26,83.37,99.90,171.25,372.14,32.94,1.50,235.07,42.56
29-03-2018 00:00,13.30,11.87,74.22,135.40,84.28,116.53,328.87,31.89,1.93,270.89,35.30
30-03-2018 00:00,9.98,11.09,87.45,149.90,141.87,129.45,391.27,43.73,1.07,244.78,16.60
31-03-2018 00:00,9.98,11.09,87.45,149.90,141.87,129.45,391.27,43.73,1.07,244.78,16.60
01-04-2018 00:00,9.90,15.53,50.62,74.16,74.52,73.92,206.08,37.49,2.53,81.33,52.01
02-04-2018 00:00,12.59,16.89,49.52,86.83,72.18,110.17,275.83,40.05,2.16,82.80,54.43
03-04-2018 00:00,5.97,5.46,55.65,77.98,65.78,111.17,265.02,37.38,1.65,94.16,45.80
04-04-2018 00:00,8.70,12.42,73.81,143.94,126.93,143.79,366.46,37.44,0.93,118.58,53.05
05-04-2018 00:00,9.99,6.94,87.71,169.65,137.85,212.13,401.33,39.09,0.79,179.27,57.95
06-04-2018 00:00,4.97,8.65,59.00,104.50,120.77,97.67,278.88,37.98,1.58,149.02,32.43
07-04-2018 00:00,7.38,5.50,44.77,59.16,76.53,54.96,167.96,45.61,2.39,100.28,44.04
08-04-2018 00:00,8.12,1.62,36.52,47.82,55.52,49.38,160.35,44.64,3.77,82.77,41.20
09-04-2018 00:00,3.22,1.94,38.59,49.50,67.72,49.13,140.53,59.66,3.23,114.99,29.26
10-04-2018 00:00,6.58,1.07,65.78,97.50,54.89,80.56,293.20,39.71,1.77,153.91,63.56
11-04-2018 00:00,7.49,0.99,39.05,61.20,42.39,54.62,151.70,54.45,3.20,105.84,20.62
12-04-2018 00:00,5.42,4.35,68.36,112.65,73.24,66.37,282.37,45.55,1.52,204.56,34.94
13-04-2018 00:00,8.21,5.53,87.80,113.03,59.83,140.58,365.75,27.94,1.23,218.81,59.30
14-04-2018 00:00,6.38,2.56,121.46,107.93,52.65,163.05,328.39,24.68,1.49,241.41,66.92
15-04-2018 00:00,57.75,15.80,108.54,141.16,88.79,132.00,181.47,25.54,0.42,180.47,41.59
16-04-2018 00:00,22.87,11.59,98.15,148.82,97.25,180.29,437.56,30.95,1.70,84.72,56.27
17-04-2018 00:00,10.58,5.09,76.36,205.92,79.74,105.80,422.22,27.75,1.16,205.96,41.03
18-04-2018 00:00,2.45,4.20,63.45,77.44,103.94,74.58,338.58,23.83,2.28,269.05,52.60
19-04-2018 00:00,6.65,7.03,70.26,156.12,80.77,92.83,378.75,23.31,1.08,258.74,41.66
20-04-2018 00:00,10.24,17.22,57.55,83.42,97.49,108.03,404.05,23.83,2.14,174.27,29.71
21-04-2018 00:00,3.38,1.48,54.62,89.37,73.43,179.92,517.29,29.63,1.54,268.04,36.66
22-04-2018 00:00,2.68,0.90,36.10,60.95,26.16,112.00,272.38,22.37,2.08,269.28,48.07
23-04-2018 00:00,4.76,2.33,66.09,93.92,58.46,94.25,267.46,18.85,1.73,266.06,52.98
24-04-2018 00:00,15.87,10.90,91.85,196.07,114.99,142.46,356.04,18.98,1.10,246.01,38.79
25-04-2018 00:00,31.07,12.10,102.77,220.05,70.01,171.12,551.42,18.09,0.78,205.11,25.99
26-04-2018 00:00,21.25,10.14,79.25,165.04,90.63,232.03,484.33,18.29,0.74,145.71,66.37
27-04-2018 00:00,9.34,1.14,32.26,39.76,52.70,97.75,351.92,42.50,3.09,89.41,20.05
28-04-2018 00:00,9.04,2.84,33.43,40.72,40.08,84.82,337.33,42.56,3.69,84.62,32.10
29-04-2018 00:00,9.51,3.32,32.72,43.51,50.16,99.21,275.88,40.38,1.63,116.74,35.64
30-04-2018 00:00,5.04,3.26,48.64,56.98,70.17,146.39,272.00,39.85,2.50,116.03,25.35
01-05-2018 00:00,4.60,0.22,30.33,28.54,37.40,49.25,188.92,52.22,4.78,86.57,10.29
02-05-2018 00:00,3.64,2.77,31.77,40.65,56.53,58.54,194.72,51.40,3.91,108.44,24.08
03-05-2018 00:00,3.99,1.64,32.32,41.55,33.52,48.67,176.79,49.66,3.86,99.77,25.84
04-05-2018 00:00,5.44,3.71,33.67,41.83,36.58,51.38,147.25,50.93,3.60,83.08,21.51
05-05-2018 00:00,17.98,13.22,57.34,103.41,82.46,93.33,288.25,38.54,1.00,144.82,44.43
06-05-2018 00:00,9.72,6.62,69.61,127.71,103.35,130.83,412.46,34.68,1.50,176.97,34.65
07-05-2018 00:00,17.90,17.92,69.47,166.32,82.36,185.33,508.58,30.48,0.96,188.40,53.37
08-05-2018 00:00,3.55,2.66,44.52,56.78,82.44,81.79,231.88,38.03,2.54,233.50,39.29
09-05-2018 00:00,5.16,10.25,54.55,79.46,117.30,110.67,392.41,45.63,0.82,181.60,38.57
10-05-2018 00:00,10.61,11.77,69.48,141.70,121.03,120.79,387.38,39.57,0.97,195.53,40.39
11-05-2018 00:00,30.71,13.97,99.71,205.70,110.65,194.88,414.38,33.41,0.86,206.78,41.53
12-05-2018 00:00,15.44,19.14,69.55,137.05,76.51,242.49,487.32,38.26,1.80,135.01,35.75
13-05-2018 00:00,5.00,0.87,26.15,31.71,37.51,80.33,236.59,49.78,3.47,118.38,21.48
14-05-2018 00:00,3.56,0.93,24.23,27.06,21.67,51.12,154.88,46.62,2.03,109.14,36.34
15-05-2018 00:00,4.38,3.91,24.50,26.50,22.87,73.04,185.50,48.08,2.22,87.27,30.28
16-05-2018 00:00,4.18,4.17,41.64,44.56,60.30,82.12,285.58,36.13,1.85,232.92,30.34
17-05-2018 00:00,3.92,3.52,60.09,88.79,94.54,112.75,319.42,26.54,1.16,204.35,56.08
18-05-2018 00:00,11.11,12.37,59.85,100.04,96.14,117.46,308.79,30.92,1.13,142.89,52.23
19-05-2018 00:00,37.59,18.56,77.64,182.49,101.58,127.75,446.46,33.85,0.92,192.93,48.43
20-05-2018 00:00,6.52,6.91,56.14,93.54,77.90,104.92,332.21,25.45,1.00,226.69,35.84
21-05-2018 00:00,4.83,2.73,43.29,59.89,93.60,72.29,241.58,13.96,1.45,242.71,45.40
22-05-2018 00:00,6.24,3.09,75.49,105.41,76.86,121.94,317.42,15.68,0.83,208.59,42.13
23-05-2018 00:00,13.30,3.28,86.03,143.71,87.34,177.79,444.67,24.25,0.81,120.55,71.23
24-05-2018 00:00,8.41,4.39,59.04,90.90,95.77,134.84,389.29,26.67,0.66,197.88,40.15
25-05-2018 00:00,16.95,3.86,98.61,200.78,82.55,111.21,361.25,15.85,1.14,233.05,58.60
26-05-2018 00:00,9.51,3.21,97.94,171.37,80.29,101.42,307.00,14.79,0.76,214.95,33.92
27-05-2018 00:00,10.02,3.02,100.51,244.16,92.44,115.46,359.54,16.83,1.05,177.20,44.03
28-05-2018 00:00,11.48,8.14,64.66,75.72,81.80,125.50,290.00,26.16,0.85,121.87,36.30
29-05-2018 00:00,12.13,5.45,54.90,133.11,57.56,124.17,303.46,32.82,2.25,136.07,31.15
30-05-2018 00:00,3.65,1.39,33.71,45.86,58.86,56.67,267.12,42.98,3.43,106.98,22.17
31-05-2018 00:00,8.58,1.46,43.81,54.34,47.16,70.12,258.83,40.26,2.18,100.38,18.41
01-06-2018 00:00,9.03,0.30,31.31,34.50,33.27,71.38,226.58,50.69,4.54,90.64,16.30
02-06-2018 00:00,2.40,0.12,33.03,35.46,26.24,44.04,146.50,49.27,3.64,87.51,26.71
03-06-2018 00:00,2.01,0.46,30.02,38.81,44.08,55.87,143.67,53.53,3.50,82.67,14.29
04-06-2018 00:00,1.99,0.03,34.29,38.53,40.50,58.62,179.09,48.69,3.92,86.41,15.67
05-06-2018 00:00,27.12,1.34,33.99,37.56,40.73,49.75,158.83,48.27,4.20,81.38,19.35
06-06-2018 00:00,22.76,22.00,38.20,58.93,65.88,58.96,170.33,60.53,2.69,98.95,23.10
07-06-2018 00:00,48.59,6.44,35.08,44.54,41.62,184.95,178.91,51.78,1.97,94.26,21.81
08-06-2018 00:00,12.83,1.14,25.54,29.49,22.54,112.67,214.25,55.15,4.11,86.74,19.06
09-06-2018 00:00,19.87,1.47,22.13,25.12,35.99,26.54,126.46,64.12,3.96,89.55,17.20
10-06-2018 00:00,18.13,14.29,38.92,49.51,56.91,90.80,322.87,46.59,1.26,206.24,31.49
11-06-2018 00:00,17.99,6.26,37.03,42.98,43.57,86.83,337.83,47.11,2.02,260.49,22.97
12-06-2018 00:00,12.63,4.56,33.68,48.64,30.70,168.21,514.06,41.07,1.48,254.21,18.38
13-06-2018 00:00,11.81,5.77,61.03,111.35,74.81,330.46,682.57,35.22,2.14,255.52,18.85
14-06-2018 00:00,8.01,7.39,65.18,93.65,92.98,258.38,657.17,33.52,1.78,248.47,23.16
15-06-2018 00:00,12.66,6.92,52.14,61.43,68.74,252.71,488.86,35.08,1.81,212.33,21.58
16-06-2018 00:00,25.13,3.35,33.22,36.93,36.81,183.98,611.94,48.38,1.73,148.62,17.32
17-06-2018 00:00,13.23,1.57,23.50,27.12,23.38,108.33,320.83,57.30,1.48,156.29,21.91
18-06-2018 00:00,21.09,5.44,27.61,28.35,20.39,94.83,255.54,48.31,1.53,210.02,23.80
19-06-2018 00:00,16.08,3.18,34.92,36.51,26.35,68.32,206.82,48.00,1.12,231.28,26.60
20-06-2018 00:00,33.80,6.74,29.99,31.73,28.10,95.76,278.35,44.40,0.92,163.22,41.87
21-06-2018 00:00,18.35,5.41,46.78,49.05,31.96,104.37,348.00,40.15,0.70,191.25,28.50
22-06-2018 00:00,31.62,10.78,74.71,79.49,43.48,132.70,392.41,39.22,0.69,156.47,48.51
23-06-2018 00:00,29.51,4.91,74.71,79.49,18.27,97.50,310.71,37.63,0.96,204.86,24.77
24-06-2018 00:00,10.76,2.08,43.63,73.74,32.34,76.76,211.02,35.95,1.81,210.77,41.04
25-06-2018 00:00,1.85,2.08,43.63,73.74,2.31,59.61,72.95,41.67,3.31,255.14,9.47
26-06-2018 00:00,9.22,31.29,43.63,73.74,2.31,73.36,268.86,55.90,0.40,172.97,17.71
27-06-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
28-06-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
29-06-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
30-06-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
01-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
02-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
03-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
04-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
05-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
06-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
07-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
08-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
09-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
10-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
11-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
12-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
13-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
14-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
15-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
16-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
17-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
18-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
19-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
20-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
21-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
22-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
23-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
24-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
25-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
26-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
27-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
28-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
29-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
30-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
31-07-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
01-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
02-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
03-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
04-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
05-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
06-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
07-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
08-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
09-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
10-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
11-08-2018 00:00,9.22,31.29,43.63,73.74,2.31,67.33,229.00,74.82,2.40,81.24,9.57
12-08-2018 00:00,0.60,122.10,3.60,8.20,7.30,51.00,224.00,65.70,0.50,159.30,18.40
13-08-2018 00:00,2.18,142.15,13.28,18.32,20.57,42.72,172.13,69.39,0.69,153.30,22.95
14-08-2018 00:00,2.75,153.51,11.78,12.22,16.10,65.27,206.62,71.49,0.66,162.58,41.54
15-08-2018 00:00,2.12,144.99,7.95,10.85,12.21,49.05,163.19,70.13,1.29,174.21,24.90
16-08-2018 00:00,2.62,155.55,13.56,10.15,16.45,47.13,157.22,72.69,0.89,125.96,40.36
17-08-2018 00:00,2.88,160.62,5.24,5.22,7.04,40.57,118.50,74.11,1.58,116.02,39.18
18-08-2018 00:00,2.19,152.59,5.01,6.07,7.02,40.10,110.33,77.63,1.12,115.95,36.50
19-08-2018 00:00,2.37,157.72,4.20,10.78,8.16,71.68,176.21,83.74,0.38,191.73,33.35
20-08-2018 00:00,2.15,143.73,3.17,19.52,12.33,77.62,193.68,77.19,0.98,158.60,56.66
21-08-2018 00:00,1.61,130.01,2.88,23.50,14.10,32.30,112.59,71.93,1.62,104.01,30.79
22-08-2018 00:00,1.67,138.27,3.64,26.69,16.29,31.50,101.08,73.07,1.47,123.84,26.51
23-08-2018 00:00,1.60,124.53,18.83,28.35,24.65,37.32,96.23,82.67,0.84,233.62,12.13
24-08-2018 00:00,2.09,120.39,16.88,25.70,22.60,39.53,170.52,75.68,0.60,270.23,11.41
25-08-2018 00:00,2.06,125.34,19.70,36.76,27.07,34.65,168.96,71.74,0.95,272.26,19.04
26-08-2018 00:00,3.18,125.82,11.54,25.94,18.91,33.22,178.50,69.13,1.19,221.54,34.64
27-08-2018 00:00,1.92,111.48,4.65,27.97,16.33,30.59,98.02,80.02,0.64,125.90,55.21
28-08-2018 00:00,1.81,121.93,6.20,9.11,9.45,38.01,88.97,85.73,1.04,119.63,37.07
29-08-2018 00:00,1.39,98.63,7.53,18.36,14.48,33.90,95.03,85.02,1.28,135.16,23.77
30-08-2018 00:00,2.30,93.66,17.34,28.49,26.63,102.93,172.47,75.44,0.75,239.12,30.63
31-08-2018 00:00,1.44,78.98,19.39,23.54,27.53,55.77,248.63,76.35,0.88,215.25,30.76
01-09-2018 00:00,2.29,79.28,19.39,23.54,27.53,51.76,118.71,87.19,0.88,196.88,23.19
02-09-2018 00:00,1.69,65.12,19.39,23.54,27.53,62.03,131.48,90.57,0.46,218.17,38.47
03-09-2018 00:00,2.24,64.29,19.39,23.54,27.53,63.37,114.42,92.26,0.37,178.47,48.78
04-09-2018 00:00,3.72,84.98,30.67,61.16,40.98,79.21,177.91,87.62,0.33,207.43,40.58
05-09-2018 00:00,2.52,90.04,22.53,63.93,43.43,48.73,186.85,82.04,0.65,261.61,27.38
06-09-2018 00:00,2.53,91.09,56.94,67.42,76.98,50.66,228.33,78.26,0.67,263.59,30.57
07-09-2018 00:00,2.93,93.18,113.28,87.39,138.83,58.40,148.64,81.72,0.48,212.32,53.05
08-09-2018 00:00,0.86,109.42,32.50,48.87,52.50,34.35,99.48,81.40,1.94,105.94,40.11
09-09-2018 00:00,0.40,70.55,11.72,31.88,26.51,24.54,68.22,77.78,2.67,109.60,33.48
10-09-2018 00:00,0.76,73.63,51.47,55.04,71.23,41.64,136.82,78.38,0.81,169.93,42.86
11-09-2018 00:00,1.04,77.13,116.09,70.34,131.99,34.77,167.18,76.17,0.57,252.35,33.19
12-09-2018 00:00,1.68,78.48,126.94,62.16,136.55,35.60,200.44,70.46,1.16,272.01,29.73
13-09-2018 00:00,0.72,68.10,165.66,67.90,171.23,35.29,210.65,64.28,1.02,263.35,28.40
14-09-2018 00:00,0.86,70.22,127.98,65.59,139.13,41.13,191.56,63.73,0.94,277.10,32.32
15-09-2018 00:00,1.17,70.87,126.33,73.42,142.05,41.42,219.18,59.58,1.00,278.88,33.42
16-09-2018 00:00,1.35,65.30,93.18,57.54,106.57,50.71,193.68,69.71,0.60,264.13,30.02
17-09-2018 00:00,1.03,69.02,97.35,74.84,119.13,62.97,235.77,64.97,1.30,249.84,22.77
18-09-2018 00:00,0.82,64.16,73.11,83.47,104.03,51.31,231.56,52.87,1.23,266.09,20.13
19-09-2018 00:00,1.39,58.89,129.58,94.20,155.80,70.21,277.13,58.79,1.15,276.79,22.82
20-09-2018 00:00,1.39,58.89,129.58,94.20,155.80,70.21,277.13,58.79,1.15,276.79,22.82
21-09-2018 00:00,1.39,58.89,129.58,94.20,155.80,70.21,277.13,58.79,1.15,276.79,22.82
22-09-2018 00:00,1.39,58.89,129.58,94.20,155.80,70.21,277.13,58.79,1.15,276.79,22.82
23-09-2018 00:00,1.39,58.89,129.58,94.20,155.80,70.21,277.13,58.79,1.15,276.79,22.82
24-09-2018 00:00,2.04,50.95,166.55,79.32,177.95,39.55,49.80,82.01,0.56,241.26,12.58
25-09-2018 00:00,1.62,36.02,140.98,67.70,150.98,28.99,64.36,79.79,0.76,285.70,10.49
26-09-2018 00:00,2.04,35.43,177.33,89.45,192.17,51.38,202.69,66.75,0.67,272.15,20.10
27-09-2018 00:00,3.86,41.96,209.17,114.55,238.73,100.64,364.92,64.17,0.55,228.08,21.72
28-09-2018 00:00,4.73,47.22,241.95,131.61,273.04,123.84,501.93,55.98,0.46,238.70,23.48
29-09-2018 00:00,2.92,31.70,130.44,111.56,167.66,124.32,363.05,55.74,0.70,219.43,25.51
30-09-2018 00:00,1.42,20.04,105.34,100.37,139.23,64.91,201.12,54.45,1.01,284.86,22.27
01-10-2018 00:00,1.95,22.77,138.25,112.65,172.59,68.36,208.39,54.48,0.69,273.07,26.59
02-10-2018 00:00,1.83,30.87,128.24,98.70,156.99,58.48,241.07,41.81,0.61,238.93,26.59
03-10-2018 00:00,4.59,34.58,142.68,126.49,183.63,75.24,310.48,40.52,0.50,202.94,34.38
04-10-2018 00:00,6.59,35.74,74.49,117.45,120.45,134.73,332.11,48.43,0.50,180.45,57.10
05-10-2018 00:00,9.62,52.83,182.97,120.39,215.80,140.02,374.22,48.78,0.45,181.02,38.46
