Year,Delhi,Karnataka,Maharashtra,West Bengal
2011,222,58.88888889,107.7272727,127.7777778
2012,237,64.66666667,101.7619048,144.125
2013,221,64.07142857,100.8636364,165.125
2014,217,75.6875,108.2727273,111
2015,220,72.1875,106.2727273,103.75
2016,278,80,106,135
2017,241,78,103,98
2018,225,72,103,118
