Year,Delhi,Karnataka,Maharashtra,West Bengal
2005,11.87,18.38,15.43,13.99
2007,11.94,18.87,16.46,14.64
2009,11.9,18.86,16.46,14.64
2011,11.88,18.87,16.45,14.64
2013,12.12,18.84,16.45,18.93
2015,12.73,18.99,16.45,18.96
2017,12.97,19.58,16.47,18.98
