Year,Delhi,Karnataka,Maharashtra,West Bengal
2011,21,357,100,280
2012,22,358,55,282
2013,22,359,72,284
2014,22,359,71,284
2015,14,414,98,334
2016,15,411,115,340
2017,15,413,101,348
